,Position,Track Name,Artist,Streams,URL,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,1.0,Pretender,Official HIGE DANdism,94371.0,https://open.spotify.com/track/5LkWXxDxUTwEVHL0pfKL55,,0.0406,https://api.spotify.com/v1/audio-analysis/5LkWXxDxUTwEVHL0pfKL55,0.526,326440.0,0.86,5LkWXxDxUTwEVHL0pfKL55,0.0,8.0,0.129,-3.37,1.0,0.027,91.955,4.0,https://api.spotify.com/v1/tracks/5LkWXxDxUTwEVHL0pfKL55,audio_features,spotify:track:5LkWXxDxUTwEVHL0pfKL55,0.403
1,2.0,マリーゴールド,Aimyon,70618.0,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7,,0.0452,https://api.spotify.com/v1/audio-analysis/2cKiHG16JBiqHdi7Llq0r7,0.545,306627.0,0.745,2cKiHG16JBiqHdi7Llq0r7,0.0,2.0,0.0907,-3.098,1.0,0.0286,106.094,4.0,https://api.spotify.com/v1/tracks/2cKiHG16JBiqHdi7Llq0r7,audio_features,spotify:track:2cKiHG16JBiqHdi7Llq0r7,0.413
2,3.0,Machigaisagashi,Masaki Suda,58123.0,https://open.spotify.com/track/0ieq1tqhvEg5bNd5Ky1akU,,0.497,https://api.spotify.com/v1/audio-analysis/0ieq1tqhvEg5bNd5Ky1akU,0.555,221147.0,0.653,0ieq1tqhvEg5bNd5Ky1akU,0.0,2.0,0.385,-5.57,1.0,0.0402,77.973,4.0,https://api.spotify.com/v1/tracks/0ieq1tqhvEg5bNd5Ky1akU,audio_features,spotify:track:0ieq1tqhvEg5bNd5Ky1akU,0.434
3,4.0,Hakujitsu,King Gnu,57155.0,https://open.spotify.com/track/0mNO3xUzjsI17GXO1DRFCH,,0.67,https://api.spotify.com/v1/audio-analysis/0mNO3xUzjsI17GXO1DRFCH,0.606,274913.0,0.901,0mNO3xUzjsI17GXO1DRFCH,0.0,1.0,0.289,-2.552,1.0,0.11,93.012,4.0,https://api.spotify.com/v1/tracks/0mNO3xUzjsI17GXO1DRFCH,audio_features,spotify:track:0mNO3xUzjsI17GXO1DRFCH,0.748
4,5.0,君はロックを聴かない,Aimyon,49055.0,https://open.spotify.com/track/59eluCMn0XbOWqeWQ91FTM,,0.00135,https://api.spotify.com/v1/audio-analysis/59eluCMn0XbOWqeWQ91FTM,0.524,246307.0,0.687,59eluCMn0XbOWqeWQ91FTM,0.0,7.0,0.169,-4.039,1.0,0.0267,99.919,4.0,https://api.spotify.com/v1/tracks/59eluCMn0XbOWqeWQ91FTM,audio_features,spotify:track:59eluCMn0XbOWqeWQ91FTM,0.619
5,6.0,ノーダウト,Official HIGE DANdism,44072.0,https://open.spotify.com/track/5DMEvbg3gUmiR5HIBWdveV,,0.0585,https://api.spotify.com/v1/audio-analysis/5DMEvbg3gUmiR5HIBWdveV,0.574,202395.0,0.936,5DMEvbg3gUmiR5HIBWdveV,0.0,2.0,0.336,-3.185,1.0,0.07,149.953,4.0,https://api.spotify.com/v1/tracks/5DMEvbg3gUmiR5HIBWdveV,audio_features,spotify:track:5DMEvbg3gUmiR5HIBWdveV,0.793
6,7.0,今夜このまま,Aimyon,43362.0,https://open.spotify.com/track/6kKvmT4i0Dercz6f3kftg3,,0.0254,https://api.spotify.com/v1/audio-analysis/6kKvmT4i0Dercz6f3kftg3,0.441,238093.0,0.852,6kKvmT4i0Dercz6f3kftg3,0.0,1.0,0.0862,-3.595,1.0,0.0383,104.855,4.0,https://api.spotify.com/v1/tracks/6kKvmT4i0Dercz6f3kftg3,audio_features,spotify:track:6kKvmT4i0Dercz6f3kftg3,0.64
7,8.0,ハルノヒ,Aimyon,41934.0,https://open.spotify.com/track/7GYGVDPbi0zQUBIkuOPAY0,,0.263,https://api.spotify.com/v1/audio-analysis/7GYGVDPbi0zQUBIkuOPAY0,0.591,326867.0,0.673,7GYGVDPbi0zQUBIkuOPAY0,0.0,9.0,0.109,-2.445,1.0,0.0294,106.956,4.0,https://api.spotify.com/v1/tracks/7GYGVDPbi0zQUBIkuOPAY0,audio_features,spotify:track:7GYGVDPbi0zQUBIkuOPAY0,0.525
8,9.0,小さな恋のうた,MONGOL800,38193.0,https://open.spotify.com/track/7swIKcU4tFRk4iFJpi12Fg,,0.00465,https://api.spotify.com/v1/audio-analysis/7swIKcU4tFRk4iFJpi12Fg,0.403,222520.0,0.87,7swIKcU4tFRk4iFJpi12Fg,0.0,11.0,0.139,-1.871,1.0,0.0474,115.398,4.0,https://api.spotify.com/v1/tracks/7swIKcU4tFRk4iFJpi12Fg,audio_features,spotify:track:7swIKcU4tFRk4iFJpi12Fg,0.549
9,10.0,Sayonara Elegy,Masaki Suda,37780.0,https://open.spotify.com/track/0QKmcZNAST4GytJYmkN05D,,0.00333,https://api.spotify.com/v1/audio-analysis/0QKmcZNAST4GytJYmkN05D,0.466,257067.0,0.934,0QKmcZNAST4GytJYmkN05D,0.0,1.0,0.277,-2.739,1.0,0.0539,154.966,4.0,https://api.spotify.com/v1/tracks/0QKmcZNAST4GytJYmkN05D,audio_features,spotify:track:0QKmcZNAST4GytJYmkN05D,0.62
